D,L,O,SC,MP,SE,MO,SW,ST,SQ
4,0,15,0,0,0,6,0,5000,1.21
10,3,11,0,1,0,7,0,5000,1.21
8,4,12,2,2,0,8,0,5000,1.21
7,2,15,10,1,0,7,0,5000,1.21
8,3,13,8,2,0,5,0,5000,1.21
9,3,12,18,2,0,4,0,5000,1.21
6,5,13,7,0,0,5,0,5000,1.21
5,4,15,14,0,0,4.5,0,5000,1.21
6,3,15,16,0,0,4.5,0,5000,1.21
5,3,16,8,0,0,4.5,0,5000,1.21
5,3,16,4,0,0,4.5,0,5000,1.21
4,4,16,2,2,0,5,0,5000,1.21
8,3,13,2,2,0,5,0,5000,1.21
5,4,15,7,1,0,4,0,5000,1.21
5,3,16,6,0,0,5,0,5000,1.21
4,4,13,2,0,0,5,0,5000,1.21
4,4,13,2,0,0,6,0,5000,1.21
5,4,13,2,0,0,5,0,5000,1.21
5,2,14,0,0,0,5,0,5000,1.21
4,3,13,0,0,0,5,0,5000,1.21
5,4,13,0,0,0,5,0,5000,1.21
5,4,14,3,0,0,4,0,5000,1.21
7,2,14,0,0,0,4,0,5000,1.21
5,5,13,11,0,0,3,0,5000,1.21
7,2,15,11,0,0,4,0,5000,1.21
7,3,14,11,4,0,3,0,5000,1.21
6,4,8,10,1,0,4.5,0,5000,1.21
5,6,9,6,3,0,4.5,0,5000,1.21
5,6,11,12,2,0,4.5,0,5000,1.21
5,5,12,9,1,0,4.5,0,5000,1.21
5,6,11,4,0,0,4.5,0,5000,1.21
5,6,11,6,0,0,4,0,5000,1.21
5,6,11,6,1,0,3,0,5000,1.21
6,5,11,4,2,0,4,0,5000,1.21
7,7,9,15,1,0,4.5,0,5000,1.21
8,2,13,50,2,0,4.5,0,5000,1.21
6,5,12,3,1,0,4.5,0,5000,1.21
6,4,10,2,1,0,4.5,0,5000,1.21
4,5,14,4,1,0,4.5,0,5000,1.21
4,5,14,2,0,0,4.5,0,5000,1.21
4,5,11,2,1,0,4.5,0,5000,1.21
5,4,12,10,1,0,4.5,0,5000,1.21
6,4,10,25,1,0,4.5,0,5000,1.21
5,3,12,5,2,0,4.5,0,5000,1.21
5,4,11,5,1,0,4.5,0,5000,1.21
6,3,14,50,1,0,4.5,0,5000,1.21
4,6,11,5,0,0,4.5,0,5000,1.21
6,4,9,2,0,0,4,0,5000,1.21
5,3,11,0,0,1,3,0,5000,1.21
6,4,12,50,2,0,4,0,5000,1.21
7,3,12,25,0,0,3,0,5000,1.21
6,3,13,25,0,0,3,0,5000,1.21
